,steps,true_nvac,r_best,vac,err,vac_with_best
0,100000,429,1.25,444.727935497691,0.03666185430697211,408.3277342733256
1,90000,429,1.25,442.70223447328294,0.03193994049716298,415.0859520330754
2,10000,429,1.25,439.63929402625047,0.02480021917540909,406.242241193201
3,70000,429,1.25,437.93143088071014,0.020819186202121642,414.69867492689565
4,30000,429,1.25,437.0827108993867,0.018840817947288313,407.2067885976059
5,20000,429,1.25,443.4462539652405,0.03367425166722726,430.16796554999496
6,60000,429,1.25,439.18513626573963,0.02374157637701546,410.8152619242045
7,50000,429,1.25,440.6013287305968,0.027042724313745437,409.3756765270333
8,80000,429,1.2421875,421.2904649770157,-0.017970944109520492,412.6048927297087
9,40000,430,1.25,437.20242929968714,0.01674983558066767,402.78113343035375
