,steps,true_nvac,r_best,vac,err,vac_with_best
0,20000,19,1.5,19.985989149631884,0.05189416577009909,18.472444076276126
1,50000,19,2.0,18.274171249427056,-0.03820151318804965,16.954885338582915
2,70000,19,2.2,19.590865850318846,0.031098202648360385,16.137781539531
3,90000,19,1.6,20.221025258701292,0.06426448730006795,16.554823188811273
4,60000,19,2.0,18.52101672476551,-0.025209646064973223,17.174113459456258
5,80000,19,2.0,19.103039658213085,0.00542313990595189,17.772593315255786
6,10000,19,1.5,20.440637977826082,0.07582305146453061,18.918405281858348
7,40000,19,2.0,19.905738389062925,0.04767044152962763,18.43741904435418
8,100000,19,2.0,18.52798933661803,-0.024842666493787857,17.323017028384726
9,30000,19,2.0,19.223081352082534,0.011741123793817643,17.70328416569237
