,steps,true_nvac,r_best,vac,err,vac_with_best
0,100000,138,1.25,140.76039894262087,0.020002890888557,131.67262574581346
1,90000,138,1.25,142.8796480174929,0.03535976824270226,129.45444407002535
2,10000,138,1.25,143.13398362934706,0.03720277992280474,132.763703433792
3,70000,138,1.2421875,132.8493867896974,-0.03732328413262753,131.2955927921571
4,30000,138,1.2421875,134.18737929339818,-0.02762768627972334,136.1386044391368
5,20000,138,1.25,143.73825668940498,0.04158157021307951,132.52837851865738
6,60000,138,1.25,143.19230810508714,0.03762542105135602,128.18892293062282
7,50000,138,1.3671875,135.8939978801226,-0.015260884926647789,129.3224075348749
8,80000,138,1.25,141.00789967607025,0.02179637446427729,129.1796012832485
9,40000,138,1.34375,138.77248275277557,0.005597701107069364,131.9822675111367
