,steps,true_nvac,r_best,vac,err,vac_with_best
0,100000,321,1.125,327.46261479310004,0.02013275636479772,310.9257527460485
1,90000,321,1.1796875,320.70882493232887,-0.0009070874382278715,307.63340260517293
2,10000,321,1.2421875,314.5558000344048,-0.020075389300919677,305.81366266152247
3,70000,321,1.125,326.9238372679262,0.018454321706935284,314.657593156246
4,30000,322,1.125,325.30388253179984,0.010260504757142463,311.7612402980582
5,20000,321,1.2421875,320.37492755103847,-0.001947266196141828,310.37459807990155
6,60000,321,1.125,323.2058153554072,0.006871698926502079,312.47174167963095
7,50000,321,1.125,324.70034103810934,0.011527542174795569,311.8233910898884
8,80000,321,1.2421875,322.6865869089688,0.005254164825448049,309.0633976695857
9,40000,321,1.125,325.81648021472205,0.015004611260816425,321.06388974157375
