,steps,true_nvac,r_best,vac,err,vac_with_best
0,20000,16,2.0,15.518996866363942,-0.03006269585225363,12.875231717543024
1,50000,16,1.5,18.005519080692324,0.12534494254327022,15.246231741053757
2,70000,16,2.0,16.59716696036975,0.03732293502310946,13.929479874343045
3,90000,16,1.5,18.088719779580202,0.13054498622376265,15.257956251321389
4,60000,16,2.0,15.77382244903061,-0.014136096935586928,13.379703690504712
5,80000,16,1.5,18.245103925816014,0.1403189953635009,15.664739038525111
6,10000,16,1.5,17.533098011341583,0.09581862570884891,15.00250225302956
7,40000,16,1.5,16.9358627866833,0.05849142416770614,14.371894863790189
8,100000,16,2.0,15.942659641525957,-0.0035837724046277053,13.34581945336813
9,30000,16,2.0,16.306408034859988,0.01915050217874925,13.761626638345003
