,steps,true_nvac,r_best,vac,err,vac_with_best
0,100000,135,0.7687187500000001,136.58826317831466,0.01176491243196054,130.33965055197532
1,90000,138,0.82859375,136.36741168919835,-0.011830350078272822,139.82178500444755
2,10000,135,0.7488593750000001,135.00545068020466,4.037540892332103e-05,133.2516034357186
3,70000,136,0.82859375,136.29557784963234,0.002173366541414312,136.37706997390717
4,30000,135,0.7687187500000001,136.79702202975238,0.013311274294462105,131.79522841808188
5,20000,135,0.6980968750000001,136.84179243051426,0.013642906892698203,136.92207508961107
6,60000,135,0.7587890625000001,136.29062963278824,0.009560219502135148,137.85075131041626
7,50000,136,0.7290000000000001,134.76761772598795,-0.00906163436773566,137.89891119759358
8,80000,136,0.7587890625000001,138.2177563630245,0.016307032081062545,132.67941420910537
9,40000,136,0.7488593750000001,136.24219950260434,0.0017808786956201583,131.91195890628848
