,steps,true_nvac,r_best,vac,err,vac_with_best
0,100000,43,0.9,42.76694952829339,-0.0054197784117816505,43.9807702339214
1,90000,43,0.8750781249999999,42.59709210570779,-0.009369951030051449,39.204041582892295
2,10000,43,0.9085937500000001,42.93539499665024,-0.0015024419383665721,41.92941104640071
3,70000,43,0.837890625,45.16069053308048,0.05024861704838335,44.58955262209302
4,30000,43,0.9085937500000001,44.05222005029907,0.02447023372788526,42.265770573604925
5,20000,43,0.92578125,44.3988463264829,0.03253130991820696,39.06938192086717
6,60000,43,0.9171875,42.89892511302793,-0.002350578766792344,41.606302134104304
7,50000,43,0.856484375,42.13921656983014,-0.020018219306275786,44.34440868337977
8,80000,43,0.9085937500000001,42.83808031401989,-0.0037655740925607306,38.60313701301413
9,40000,43,0.8471875,43.60932698580501,0.014170395018721305,43.32535927519977
