,steps,true_nvac,r_best,vac,err,vac_with_best
0,100000,201,0.92578125,197.4880502731635,-0.017472386700679077,200.0956911267807
1,90000,201,0.934375,198.72297445557768,-0.011328485295633461,202.13592269811875
2,10000,201,0.96015625,201.58601297246022,0.0029154874251753338,200.3394208315972
3,70000,201,1.015625,200.80979841709944,-0.0009462765318435373,202.68386024042806
4,30000,201,1.0078125,203.37634839147458,0.011822628813306313,199.33761241279998
5,20000,201,1.0078125,200.8103728226741,-0.0009434187926661286,195.8101145352569
6,60000,201,0.96015625,198.18714669406125,-0.013994295054421624,201.02592309442642
7,50000,201,1.0078125,195.7629599350562,-0.026054925696237907,198.32195287538374
8,80000,201,0.92578125,200.55220530434812,-0.0022278343067257955,203.57355367416122
9,40000,201,0.92578125,200.413839977111,-0.002916219019348243,197.7540142303808
