,steps,true_nvac,r_best,vac,err,vac_with_best
0,100000,455,0.8471875,458.23244209838157,0.007104268348091303,444.2570007507913
1,90000,453,0.9,451.42335259496923,-0.0034804578477500847,448.21745140340124
2,10000,454,0.7985078125000001,451.903301902014,-0.004618277748867805,453.05454314059614
3,70000,453,0.819296875,452.131371844811,-0.0019175014463334028,455.3945493481016
4,30000,453,0.82859375,451.46046213553586,-0.0033985383321504248,447.29510655869984
5,20000,453,0.819296875,452.43655144647573,-0.0012438157914442804,453.91523649886545
6,60000,453,0.837890625,453.0777201991689,0.000171567768584735,455.07718057074504
7,50000,454,0.82859375,454.22448369002655,0.0004944574670189272,454.5520887990709
8,80000,454,0.82859375,454.7608300954517,0.0016758372146512546,459.91276900859924
9,40000,454,0.7985078125000001,446.0686598971475,-0.017469912120820497,457.6302697039281
