,steps,true_nvac,r_best,vac,err,vac_with_best
0,100000,249,1.03125,249.06352049731197,0.00025510239884329877,246.52985316462497
1,90000,249,1.0546875,247.1355525700552,-0.007487740682509236,241.97758787385192
2,10000,249,1.0546875,250.05904370602414,0.0042531875743940795,247.48027144321853
3,70000,249,1.0625,251.11508523898954,0.008494318228873698,241.6841028307554
4,30000,249,1.09375,249.04912529935936,0.000197290358872948,242.40890833120662
5,20000,250,1.0625,251.0031439299923,0.004012575719969158,236.55132370371803
6,60000,249,1.0546875,250.91077232657295,0.007673784444068188,249.2173362928728
7,50000,249,1.0546875,247.40948464058445,-0.006387611885202982,243.20864442595612
8,80000,249,1.125,250.37983843323403,0.00554151981218487,249.19397932584164
9,40000,250,1.1171875,251.74540758439363,0.006981630337574485,241.45341493168968
