,steps,true_nvac,r_best,vac,err,vac_with_best
0,20000,43,1.0625,42.09560531815673,-0.021032434461471405,40.43705426434567
1,50000,43,1.0625,43.2523008873147,0.005867462495690701,41.462075644963654
2,70000,43,1.0625,42.010920657322615,-0.023001845178543867,40.33799492614926
3,90000,43,1.0625,42.270634124273045,-0.016961997109929183,40.74823479646082
4,60000,43,1.0625,42.7397649303953,-0.006051978362899946,40.994097200086436
5,80000,43,1.0625,42.29139315417272,-0.016479228972727467,40.58378477073953
6,10000,43,1.125,44.71482697160128,0.03987969701398342,39.54396768418456
7,40000,43,1.0625,44.195739765064744,0.027807901513133615,42.49392014750682
8,100000,43,1.0625,42.608635390662016,-0.009101502542743778,40.84021338549776
9,30000,43,1.0625,44.11796161274775,0.025999107273203537,42.28784070839579
