,steps,true_nvac,r_best,vac,err,vac_with_best
0,100000,13,1.0,12.32069801850484,-0.052253998576550775,16.045560210145837
1,90000,13,1.0078125,12.998044615126572,-0.0001504142210329018,13.729184624727443
2,10000,13,0.9171875,13.337573512277862,0.02596719325214325,14.435483527008053
3,70000,13,1.0234375,13.144178623813808,0.011090663370292964,12.243331490717534
4,30000,13,1.015625,12.886184540674508,-0.008755035332730143,12.604299253847254
5,20000,13,1.01171875,12.98763270360741,-0.0009513304917376786,12.26386369845282
6,60000,13,1.015625,13.75776857130089,0.05828989010006835,12.2793217994596
7,50000,13,0.934375,13.087558872561948,0.006735297889380654,13.772138875126728
8,80000,13,1.0,12.797147172487769,-0.01560406365478706,11.917343304379234
9,40000,13,1.015625,12.389712691064236,-0.04694517761044337,13.482922634393436
