,steps,true_nvac,r_best,vac,err,vac_with_best
0,100000,321,0.92578125,318.531590983717,-0.0076897477142772175,314.92434940113014
1,90000,323,0.9171875,326.47066336062085,0.010745087803779807,319.11301171099115
2,10000,321,0.934375,321.1092467528073,0.00034033256326249095,311.60152009961774
3,70000,321,0.96015625,319.759966416317,-0.003863032970975011,320.23984630588626
4,30000,321,0.9085937500000001,314.4541256024811,-0.020392132079498082,323.9866796584473
5,20000,321,0.92578125,325.7107756243384,0.014675313471459228,321.9998912457081
6,60000,321,0.92578125,324.6322430752572,0.011315398988340108,321.47231858006927
7,50000,321,0.9171875,321.31950769463214,0.0009953510736202542,321.31950769463214
8,80000,321,0.92578125,319.9117197439845,-0.0033902811713878434,319.4695751382321
9,40000,322,1.0,321.8195975094463,-0.0005602561818438545,318.18686657054616
